@RELATION urnsModelData

@ATTRIBUTE logLen NUMERIC
@ATTRIBUTE singleton NUMERIC
@ATTRIBUTE low5 NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE median NUMERIC
@ATTRIBUTE top10 NUMERIC
@ATTRIBUTE top50 NUMERIC
@ATTRIBUTE top100 NUMERIC
@ATTRIBUTE top1000 NUMERIC
@ATTRIBUTE logLenC NUMERIC

@DATA
10.3356,0.0524,0.1130,7.6868,2.0000,0.2086,0.3522,0.4316,0.6604,4.852030263919617
10.4596,0.0330,0.0865,9.6020,2.0000,0.2103,0.3527,0.4330,0.6616,4.852030263919617
10.5583,0.0981,0.1497,6.1524,1.0000,0.2491,0.3990,0.4763,0.6895,4.882801922586371
11.4461,0.0042,0.0232,26.7026,4.0000,0.2495,0.3990,0.4765,0.6894,4.882801922586371
10.6601,0.0870,0.1379,6.6295,1.0000,0.2494,0.3992,0.4766,0.6903,4.882801922586371
10.5317,0.0164,0.0431,18.2934,2.0000,0.3478,0.5060,0.5778,0.7770,4.762173934797756
10.7269,0.0006,0.0072,55.6258,7.0000,0.3485,0.5066,0.5783,0.7768,4.762173934797756
10.6197,0.0090,0.0306,23.7460,3.0000,0.3492,0.5075,0.5788,0.7775,4.762173934797756
10.3529,0.0308,0.0639,13.0522,2.0000,0.2954,0.4417,0.5111,0.7406,6.400257445308821
10.4681,0.0212,0.0506,15.8506,2.0000,0.2948,0.4414,0.5112,0.7407,6.400257445308821
10.1575,0.0481,0.0845,10.1836,2.0000,0.2946,0.4428,0.5119,0.7413,6.400257445308821
10.1464,0.0243,0.0563,14.5877,2.0000,0.4397,0.5682,0.6219,0.7826,6.70073110954781
10.4225,0.0009,0.0087,49.3507,6.0000,0.4414,0.5688,0.6216,0.7820,6.70073110954781
10.0800,0.0300,0.0639,13.0994,2.0000,0.4411,0.5682,0.6210,0.7831,6.70073110954781
10.5890,0.0419,0.0783,11.0509,2.0000,0.4042,0.5322,0.5857,0.7479,7.837948916025283
10.4191,0.0559,0.0950,9.3316,1.0000,0.4038,0.5324,0.5864,0.7491,7.837948916025283
10.4965,0.0492,0.0869,10.1047,2.0000,0.4047,0.5337,0.5879,0.7505,7.837948916025283
10.1813,0.0493,0.0866,10.2083,1.0000,0.5122,0.6105,0.6503,0.7821,1.6094379124341003
10.1401,0.0539,0.0921,9.6744,1.0000,0.5133,0.6114,0.6512,0.7820,1.6094379124341003
10.2397,0.0454,0.0820,10.7437,2.0000,0.5131,0.6117,0.6510,0.7832,1.6094379124341003
10.1459,0.0585,0.0966,9.2880,1.0000,0.4784,0.6016,0.6464,0.7811,2.4849066497880004
10.1086,0.0606,0.0991,9.0708,1.0000,0.4781,0.6015,0.6455,0.7814,2.4849066497880004
10.2215,0.0520,0.0899,9.9119,1.0000,0.4782,0.6004,0.6442,0.7793,2.4849066497880004
10.2430,0.0400,0.0770,11.1288,2.0000,0.3989,0.5335,0.5897,0.7609,7.362645270417825
10.3661,0.0300,0.0640,13.0424,2.0000,0.4018,0.5357,0.5918,0.7608,7.362645270417825
10.4916,0.0183,0.0475,16.6906,2.0000,0.4013,0.5349,0.5916,0.7613,7.362645270417825
11.0134,0.0117,0.0351,21.2441,3.0000,0.3701,0.5056,0.5628,0.7357,7.31455283232408
10.5104,0.0535,0.0919,9.5605,1.0000,0.3711,0.5060,0.5638,0.7369,7.31455283232408
10.4066,0.0625,0.1026,8.6658,1.0000,0.3715,0.5056,0.5626,0.7371,7.31455283232408
9.9749,0.0423,0.0794,11.0204,2.0000,0.4859,0.6095,0.6550,0.7942,2.3978952727983707
10.3952,0.0072,0.0273,25.7069,3.0000,0.4874,0.6096,0.6548,0.7927,2.3978952727983707
9.9541,0.0439,0.0813,10.7852,2.0000,0.4887,0.6105,0.6559,0.7948,2.3978952727983707
10.2883,0.0041,0.0292,19.0803,5.0000,0.1461,0.2514,0.3116,0.5761,6.90975328164481
10.2922,0.0033,0.0260,20.1994,5.0000,0.1458,0.2516,0.3110,0.5748,6.90975328164481
10.1788,0.0228,0.0735,10.3409,3.0000,0.1452,0.2515,0.3116,0.5775,6.90975328164481
10.6243,0.0086,0.0297,24.3152,3.0000,0.4200,0.5786,0.6383,0.7828,3.295836866004329
10.6080,0.0100,0.0326,22.7965,3.0000,0.4201,0.5783,0.6380,0.7827,3.295836866004329
10.2649,0.0380,0.0730,11.8479,2.0000,0.4211,0.5784,0.6382,0.7839,3.295836866004329
9.9280,0.0098,0.0331,22.1515,3.0000,0.4307,0.5978,0.6577,0.8102,3.1780538303479458
9.9999,0.0043,0.0205,30.6144,4.0000,0.4307,0.5993,0.6590,0.8104,3.1780538303479458
10.0317,0.0014,0.0112,43.5488,6.0000,0.4308,0.5986,0.6582,0.8096,3.1780538303479458
10.1304,0.0191,0.0481,16.7210,2.0000,0.4885,0.6150,0.6592,0.7985,2.1972245773362196
9.9136,0.0366,0.0716,11.9993,2.0000,0.4906,0.6170,0.6611,0.8009,2.1972245773362196
9.9102,0.0390,0.0757,11.4530,2.0000,0.4912,0.6157,0.6594,0.7987,2.1972245773362196
10.4413,0.0747,0.1390,6.4710,2.0000,0.3742,0.4908,0.5257,0.6570,2.5649493574615367
10.8814,0.0069,0.0365,17.9194,4.0000,0.3760,0.4926,0.5274,0.6563,2.5649493574615367
10.8875,0.0064,0.0348,18.5041,4.0000,0.3760,0.4919,0.5270,0.6567,2.5649493574615367
10.1013,0.0292,0.0622,13.3457,2.0000,0.3481,0.4979,0.5650,0.7734,5.75890177387728
